Response ID,country,state_province,age,gender,marital,sexuality,children,income,education
817000,1,5,5,1,3,1,2,7,6
818,1,5,8,2,2,1,2,5,7
825,1,48,3,1,3,1,0,7,6
825000,1,48,3,1,3,1,0,7,6
832,1,5,4,2,3,1,2,6,6
840,1,5,8,2,4,1,0,4,3
841,1,5,9,2,4,1,3,8,3
849,1,5,5,1,1,1,0,4,2
849000,1,5,5,1,1,1,0,4,2
850,1,5,7,1,1,1,0,7,6
850000,1,5,7,1,1,1,0,7,6
856,1,5,5,2,3,1,3,4,3
859,1,29,5,1,3,1,1,8,2
859000,1,29,5,1,3,1,1,8,2
860,1,29,2,2,1,1,0,6,4
861,1,48,4,2,1,1,0,2,2
866,1,5,9,1,3,1,3,6,2
866000,1,5,9,1,3,1,3,6,2
868,1,38,7,2,3,1,4,8,4
877,1,5,4,2,1,1,0,5,4
880,1,48,5,2,1,1,0,6,6
889,1,5,3,1,3,1,2,3,4
889000,1,5,3,1,3,1,2,3,4
891,1,5,3,2,1,3,0,2,3
893,1,5,4,2,1,1,2,3,2
895,1,5,5,2,1,1,0,2,2
898,1,5,3,2,1,1,0,2,2
900,1,5,3,2,1,1,0,0,3
903,1,5,3,2,2,1,0,3,2
904,1,38,5,2,3,1,2,4,2
910,1,48,8,2,4,1,3,1,2
912,1,6,3,2,1,1,0,0,5
913,1,5,7,1,2,1,1,8,6
913000,1,5,7,1,2,1,1,8,6
916,1,5,3,2,1,1,0,7,6
919,1,5,9,2,4,1,5,2,3
922,1,48,8,2,3,1,0,2,3
923,1,29,6,2,1,1,0,8,5
929,1,38,9,2,3,1,2,8,6
930,1,5,9,2,2,1,2,7,3
941,1,5,5,1,3,1,4,6,7
941000,1,5,5,1,3,1,4,6,7
951,1,5,3,2,1,2,1,4,3
955,1,5,5,1,3,1,4,8,8
955000,1,5,5,1,3,1,4,8,8
963,1,5,7,1,2,2,0,2,3
963000,1,5,7,1,2,2,0,2,3
965,1,29,5,2,3,1,1,6,2
970,1,38,9,1,4,1,0,2,3
970000,1,38,9,1,4,1,0,2,3
973,1,38,6,2,3,1,3,7,6
987,1,48,4,2,3,1,0,6,8
994,1,48,9,2,2,2,5,9,6
1102,1,5,7,2,1,1,0,3,3
1112,1,5,9,2,3,1,5,3,6
1116,1,29,6,2,3,1,3,5,3
1120,1,5,4,2,3,1,0,6,6
1121,1,5,6,1,1,2,0,4,5
1121000,1,5,6,1,1,2,0,4,5
1126,1,48,7,2,1,1,5,6,2
1128,1,6,7,1,3,1,2,7,6
1128000,1,6,7,1,3,1,2,7,6
1130,1,5,4,2,3,1,0,7,6
1131,1,5,9,2,3,1,4,6,5
1136,1,5,6,1,3,1,2,8,6
1136000,1,5,6,1,3,1,2,8,6
1142,1,5,6,2,1,1,0,5,6
1148,1,5,7,2,2,1,2,1,1
1158,1,6,9,2,4,1,5,2,3
1160,1,29,4,2,1,3,0,5,3
1174,1,6,5,2,3,1,0,6,6
1175,1,5,6,2,3,1,2,5,3
1177,1,29,8,1,3,1,6,6,4
1177000,1,29,8,1,3,1,6,6,4
1178,1,5,5,2,1,1,1,3,3
1181,1,5,8,2,2,1,0,5,4
1185,1,5,6,1,1,3,0,7,6
1185000,1,5,6,1,1,3,0,7,6
1188,1,5,6,2,3,1,2,5,3
1189,1,5,3,1,1,1,0,6,5
1189000,1,5,3,1,1,1,0,6,5
1191,1,5,5,2,1,1,0,7,7
1195,1,5,9,2,2,1,2,7,3
1199,1,5,5,2,1,1,0,3,3
1202,1,5,9,2,2,1,5,7,4
1212,1,5,6,2,3,1,0,8,5
1220,1,29,9,1,3,1,5,6,3
1220000,1,29,9,1,3,1,5,6,3
1223,1,2,9,2,3,1,5,7,6
1229,1,5,3,2,3,1,0,2,6
1231,1,5,5,2,3,4,0,0,8
1235,1,5,9,1,2,1,5,4,3
1235000,1,5,9,1,2,1,5,4,3
1237,1,5,7,1,1,1,0,9,6
1237000,1,5,7,1,1,1,0,9,6
1240,1,5,6,2,3,1,1,5,2
1245,1,38,5,2,1,1,0,2,3
1252,1,5,3,2,3,1,2,6,6
1258,1,5,4,2,2,1,4,1,3
1264,1,5,3,1,1,1,0,4,3
